Code IRIS de Roubaix,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,nb_inscrits,revenu_fiscal_median_par_uc,pos,indice,Nom de l’IRIS à Roubaix,nb_hab,indice_nb_hab,iris_part_inscrits
595120803.0,6.726470588235294,1.2911764705882354,5.3882352941176475,0.9058823529411765,4.482352941176471,0.14411764705882352,0.2088235294117647,340,14598,G6,"1,53018867924528",POTENNERIE,2957,"1,18859282608926",0.1184308420696652
595120901.0,6.125523012552302,2.8953974895397487,3.3682008368200838,0.12552301255230125,3.2426778242677825,0.4225941422594142,0.401673640167364,239,7920,G3,"0,830188679245283",SAINTE-ELISABETH CENTRE,2477,"0,995652495848186",0.09938231731933792
595120902.0,7.4236453201970445,2.748768472906404,4.458128078817734,0.5615763546798029,3.896551724137931,0.3694581280788177,0.5221674876847291,203,7941,G3,"0,832389937106918",SAINTE-ELISABETH SUD,1903,"0,764928017601574",0.10987388334209143
595120903.0,7.690104166666667,3.484375,4.328125,0.3880208333333333,3.9401041666666665,0.4505208333333333,0.4427083333333333,384,8677,G3,"0,909538784067086",SAINTE-ELISABETH NORD,2818,"1,13272052212361",0.14035486160397445
595121001.0,5.466666666666667,2.528205128205128,2.9743589743589745,0.7948717948717948,2.1794871794871793,0.2205128205128205,0.3128205128205128,195,7277,G2,"0,762788259958071",PILE EST,2207,"0,887123560087585",0.0910058903488899
595121002.0,4.628865979381444,2.0051546391752577,2.6804123711340204,0.5,2.1804123711340204,0.17525773195876287,0.27835051546391754,194,6419,G1,"0,672851153039832",PILE CENTRE,2616,"1,05152479981383",0.07638379204892966
595121003.0,8.213178294573643,4.5271317829457365,3.356589147286822,0.2558139534883721,3.10077519379845,0.05813953488372093,1.0891472868217054,258,7885,G2,"0,826519916142558",PILE NORD,2142,"0,860996223700773",0.12406162464985995
595121101.0,15.244444444444444,12.133333333333333,3.3777777777777778,0.044444444444444446,3.3333333333333335,1.0222222222222221,0.6666666666666666,45,4648,G1,"0,487211740041929",TROIS PONTS NORD,1040,"0,418037382188984",0.04456730769230769
595121102.0,7.977011494252873,4.390804597701149,4.109195402298851,0.9655172413793104,3.1436781609195403,0.5747126436781609,0.6091954022988506,174,6362,G1,"0,666876310272537",TROIS PONTS SUD,2264,"0,910035224303712",0.079160777385159
595121103.0,6.307086614173229,2.7559055118110236,3.2283464566929134,0.5196850393700787,2.7086614173228347,0.25984251968503935,0.4881889763779528,127,9988,G5,"1,04696016771488",SARTEL,1796,"0,721918402318669",0.07283407572383073
595121201.0,6.920972644376899,2.346504559270517,5.130699088145897,0.9483282674772037,4.182370820668693,0.060790273556231005,0.1033434650455927,329,15408,G6,"1,61509433962264",LINNE CHEMIN NEUF,3041,"1,22235738388144",0.11143373890167708
595121202.0,6.732919254658385,2.7267080745341614,4.180124223602484,0.5527950310559007,3.627329192546584,0.21739130434782608,0.11180124223602485,161,15934,G6,"1,67023060796646",JUSTICE,2109,"0,8477315759967",0.07862968231389285
595121203.0,6.2905982905982905,1.6923076923076923,4.602564102564102,0.33760683760683763,4.264957264957265,0.15384615384615385,0.27350427350427353,234,12881,G5,"1,35020964360587",FRATERNITE,2679,"1,07684821815797",0.08996640537513999
595121301.0,7.011111111111111,2.7888888888888888,4.316666666666666,1.0055555555555555,3.311111111111111,0.6166666666666667,0.05555555555555555,180,9747,G4,"1,02169811320755",NOUVEAU ROUBAIX,2302,"0,925309667114463",0.08053866203301477
595121302.0,5.614864864864865,1.527027027027027,4.297297297297297,0.21621621621621623,4.081081081081081,0.06756756756756757,0.12162162162162163,148,9127,G4,"0,956708595387841",HAUTS CHAMPS,2464,"0,990427028570824",0.06186688311688312
